Date of Inquiry,Date of Contact,Client Name,Phone Number,Email,Lead Status,Viewing Scheduled,Viewed,Follow-up Comment,Outcome
2025-04-06,2025-04-06,Karen Hunt,001-987-146-2015,rachel19@gmail.com,Warm,Yes,No,Follow Up with Another Call,Still Deciding
2025-02-12,2025-03-09,Mrs. Dominique Williams,955.562.1703,yserrano@gmail.com,Cold,No,No,Visited,Still Deciding
2025-01-16,2025-03-11,Cynthia Moreno,576.438.8104,uward@weaver.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-11,2025-03-26,Benjamin Mccarty,882-959-2206x261,katherinewilson@hotmail.com,Cold,No,No,Not Interested,Not Interested
2025-04-06,2025-04-07,James Smith,+1-406-760-3387,joshuagreen@hotmail.com,Cold,Yes,Yes,Agents,Still Deciding
2025-02-24,2025-03-08,Kevin Gomez,992.077.9402,angel68@yahoo.com,Hot,No,No,Not Interested,Still Deciding
2025-03-27,2025-04-03,Marc Brooks,+1-431-388-4807,simmonsmathew@gmail.com,Warm,No,No,Follow Up with Another Call,Not Interested
2025-03-20,2025-03-22,James Rodriguez,7143493707,elizabeth09@hotmail.com,Cold,No,No,Visited,Still Deciding
2025-02-22,2025-04-08,Lisa Smith,140.108.9716,qdiaz@rice.com,Cold,No,No,Other Interests,Still Deciding
2025-03-12,2025-04-04,Amy Shepard,565-754-4369,barry17@hotmail.com,Hot,Yes,No,Did Not Pick,Not Interested
2025-04-02,2025-04-02,Mark Byrd,0681872506,stevensdylan@mcknight.com,Hot,No,No,Sent Info via Email,Purchased
2025-02-23,2025-03-21,Nathan Allen,185.812.7583x818,stephaniekeller@james-johnson.com,Warm,No,No,Visited,Booked Another Visit
2025-01-10,2025-01-21,Kathy Gonzales,+1-089-517-5187x0234,duartegeorge@hotmail.com,Cold,Yes,No,Follow Up with Another Call,Still Deciding
2025-02-15,2025-04-01,Charles Wright,001-731-597-0175x78007,nelsonxavier@mitchell.net,Cold,No,No,Sent Info via Email,Still Deciding
2025-02-06,2025-02-07,Kristina Baker,675.226.7393,benjaminsantana@richardson-washington.com,Cold,Yes,Yes,Did Not Pick,Not Interested
2025-04-05,2025-04-06,John Glover,536.061.4632,johnsnicholas@mccarthy.org,Cold,No,No,Agents,Not Interested
2025-02-26,2025-04-06,Beth Hill,(660)335-9246x82294,paguirre@walton.info,Warm,Yes,No,Other Interests,Not Interested
2025-03-04,2025-03-17,Christopher Mosley,001-467-047-0652,daviesrobert@jenkins.com,Warm,No,No,Did Not Pick,Not Interested
2025-03-29,2025-04-03,Charles Holland,308.221.1595,rreyes@vaughn.com,Warm,No,No,Booked Site Visit,Not Interested
2025-03-08,2025-03-26,Christian Dawson,103-704-4904,wvincent@jenkins.info,Cold,No,No,Agents,Not Interested
2025-02-18,2025-03-31,Bridget Lewis,001-837-481-4772x949,pvaldez@hotmail.com,Cold,No,No,Did Not Pick,Purchased
2025-01-21,2025-03-09,Kelly Bryant,+1-752-387-0506x78978,dramirez@yahoo.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-02-15,2025-04-06,Alex Chan,686-582-3747x6643,jaimelee@fritz-owens.biz,Cold,No,No,Agents,Purchased
2025-03-16,2025-03-28,Eric Barnett,(898)099-8057x1513,ilopez@anderson.org,Cold,No,No,Agents,Still Deciding
2025-01-11,2025-02-17,Denise Gonzalez,443-679-7087x506,sara77@harmon.biz,Warm,Yes,No,Follow Up with Another Call,Still Deciding
2025-03-31,2025-03-31,Catherine Spencer,(532)129-3509,victoriayoung@gmail.com,Warm,No,No,Booked Site Visit,Still Deciding
2025-01-31,2025-02-05,Sarah Pierce,(577)727-1576x067,icarter@armstrong.com,Cold,No,No,Visited,Not Interested
2025-01-17,2025-02-14,Valerie Lowery,9830537123,hillamber@contreras-smith.biz,Cold,No,No,Other Interests,Still Deciding
2025-02-24,2025-04-03,Rachel Perry,(537)461-9401x93191,aanderson@yahoo.com,Warm,Yes,No,Visited,Booked Another Visit
2025-03-26,2025-04-01,Rachel Mann,713-787-6450x79860,herringkristina@welch.com,Cold,Yes,Yes,Sent Info via Email,Still Deciding
2025-01-29,2025-03-12,Brandon Murillo,+1-664-586-8573,batesisaiah@ramirez-white.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-04-05,2025-04-07,Valerie Smith,(745)927-3734x9570,denisewheeler@gmail.com,Hot,No,No,Not Interested,Still Deciding
2025-03-02,2025-03-14,Aaron Perez,305.136.1113x2342,nicoleclark@petty-reynolds.info,Cold,Yes,Yes,Did Not Pick,Still Deciding
2025-02-07,2025-03-28,Meagan Reilly,(271)125-8120,erika56@griffith.com,Cold,No,No,Not Interested,Purchased
2025-02-12,2025-02-15,Patrick Johnson,+1-331-076-1631x275,jamie77@hotmail.com,Warm,Yes,Yes,Sent Info via Email,Purchased
2025-02-06,2025-04-03,Brian Garrett,+1-581-417-1637x93240,edwardsmason@gmail.com,Warm,No,No,Follow Up with Another Call,Purchased
2025-01-14,2025-03-11,Donald Wise,(739)522-6376x668,jeffersonmatthew@cervantes.com,Warm,No,No,Sent Info via Email,Not Interested
2025-03-17,2025-03-17,Christine Murphy,+1-342-807-8674,xdavis@gmail.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-03-11,2025-04-08,April Nelson,489-846-4744,elizabeth61@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-02,2025-04-05,Angela Medina,(715)774-7786x52163,gabriel88@yahoo.com,Cold,No,No,Follow Up with Another Call,Purchased
2025-02-12,2025-04-01,Alan Alvarez,(627)291-4624,youngmark@gmail.com,Cold,No,No,Visited,Booked Another Visit
2025-02-17,2025-03-17,Shirley Garza,+1-698-303-6846x2350,jennifer15@pineda-ayala.com,Cold,Yes,No,Did Not Pick,Purchased
2025-03-06,2025-03-22,Nathan Marquez,(941)599-8992,anthony47@cruz.org,Cold,Yes,Yes,Did Not Pick,Still Deciding
2025-01-14,2025-02-15,Lori Bray,+1-163-956-0676x449,jwillis@taylor.org,Warm,No,No,Visited,Purchased
2025-01-16,2025-03-28,Maria Fuller,448-494-0730x7090,griffinmegan@yahoo.com,Warm,No,No,Booked Site Visit,Purchased
2025-04-03,2025-04-08,Nicole Grant,719-818-5054x977,regina93@martinez-cherry.com,Warm,Yes,Yes,Sent Info via Email,Not Interested
2025-03-18,2025-04-08,Johnathan Larson,001-502-263-8888x4134,joshua96@yahoo.com,Hot,Yes,Yes,Booked Site Visit,Still Deciding
2025-02-19,2025-03-17,Gabrielle Rivera,9776655432,tanya35@yahoo.com,Hot,No,No,Other Interests,Purchased
2025-02-25,2025-02-26,Meghan Taylor,920.612.7265x534,rbarker@hotmail.com,Cold,No,No,Visited,Still Deciding
2025-02-17,2025-03-17,Joseph Marks,001-103-392-9283x39509,christopherduncan@yahoo.com,Cold,No,No,Did Not Pick,Purchased
2025-03-18,2025-03-30,Cassidy Hays,(933)287-3782,amberleblanc@mullen.com,Warm,Yes,Yes,Booked Site Visit,Purchased
2025-04-07,2025-04-07,Michael Murphy,837-806-4064,samantha50@davenport-tucker.biz,Warm,Yes,Yes,Agents,Still Deciding
2025-02-14,2025-02-22,Melissa Scott,139-854-8866x11661,wrightjames@yahoo.com,Cold,Yes,Yes,Visited,Not Interested
2025-02-27,2025-03-21,Michael Reed,001-578-097-4843x9900,timothyhamilton@santos.com,Cold,Yes,Yes,Agents,Booked Another Visit
2025-02-12,2025-02-13,Brett Key,+1-873-229-4617x35760,bautistasean@young.com,Cold,Yes,Yes,Not Interested,Not Interested
2025-03-05,2025-03-08,Jesse Silva,001-324-132-0622,william34@wheeler.info,Hot,Yes,Yes,Not Interested,Still Deciding
2025-02-25,2025-03-09,Jennifer Thompson,560.438.9996x11502,morajose@hotmail.com,Hot,Yes,Yes,Visited,Booked Another Visit
2025-02-10,2025-02-10,Kelly Duffy,381.244.5893x959,tinahoward@gmail.com,Cold,No,No,Sent Info via Email,Not Interested
2025-01-18,2025-03-03,Jason Hubbard,999-367-3551x54227,tdavis@rose-ramirez.com,Cold,No,No,Did Not Pick,Not Interested
2025-02-23,2025-03-16,Aaron Ware,+1-610-602-4525,oconnorstephanie@yahoo.com,Warm,Yes,No,Sent Info via Email,Still Deciding
2025-02-12,2025-04-05,Patricia Martin,(726)726-2538x18219,qgonzalez@espinoza.com,Warm,No,No,Not Interested,Purchased
2025-03-28,2025-03-28,Kim Robinson,+1-392-515-6839x249,trevormcmillan@hotmail.com,Cold,No,No,Visited,Not Interested
2025-04-01,2025-04-01,Brooke York,450.993.7499,matthew96@gmail.com,Warm,No,No,Visited,Not Interested
2025-03-30,2025-04-02,Sally Adams,001-324-175-7938x64941,markallen@yahoo.com,Warm,No,No,Not Interested,Purchased
2025-02-11,2025-03-04,Nicole Jenkins,695.889.1751,buckbrianna@hotmail.com,Warm,No,No,Not Interested,Purchased
2025-02-28,2025-04-06,Brittney Roberts,483.272.0436,kfisher@yahoo.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-01-23,2025-02-09,Luis Salazar,176-513-7196x0827,sarah43@alexander-flores.info,Warm,Yes,Yes,Follow Up with Another Call,Not Interested
2025-03-05,2025-03-16,Christine Anderson,+1-980-850-6768x2812,bradfordmanuel@shelton.com,Cold,Yes,Yes,Booked Site Visit,Purchased
2025-01-28,2025-02-20,Michelle Moore,873.367.4190x717,nromero@gmail.com,Cold,No,No,Visited,Purchased
2025-01-31,2025-03-04,Kelli Riggs,+1-415-332-3544x23377,derrick16@gmail.com,Hot,Yes,No,Sent Info via Email,Purchased
2025-02-23,2025-03-29,Jennifer Hall,(548)395-4149x1891,glenn58@york.org,Warm,No,No,Other Interests,Not Interested
2025-03-13,2025-04-01,Carolyn Robertson DDS,(247)971-1860,larsongregory@hotmail.com,Cold,Yes,Yes,Visited,Still Deciding
2025-01-27,2025-03-27,Grace Shaw,710.146.7261x99430,hannah85@gmail.com,Cold,Yes,Yes,Other Interests,Purchased
2025-04-06,2025-04-07,Brian Hill,876.618.0708,hernandezmadeline@zuniga.biz,Cold,No,No,Agents,Still Deciding
2025-03-01,2025-03-01,Gina Jones,309-551-5970,cstrickland@gmail.com,Hot,No,No,Visited,Still Deciding
2025-02-21,2025-03-11,Margaret Powers,750-566-6032x5782,heatherrich@farrell.com,Warm,No,No,Not Interested,Booked Another Visit
2025-03-24,2025-03-28,Joel Ramsey,(238)903-3084,taylorrichard@yahoo.com,Warm,No,No,Not Interested,Still Deciding
2025-03-22,2025-04-03,Pamela Durham,7898378765,sperkins@kirk-lewis.net,Warm,Yes,Yes,Did Not Pick,Purchased
2025-01-27,2025-02-14,Edward Chapman,916-653-9562x6084,zmartin@gmail.com,Cold,No,No,Not Interested,Not Interested
2025-03-14,2025-04-01,Jason Bennett,001-578-764-8370x391,andrewsmith@wilson.com,Hot,Yes,Yes,Agents,Still Deciding
2025-01-20,2025-03-24,Ebony Brown,(581)197-5782x23664,mchan@white.com,Cold,No,No,Other Interests,Still Deciding
2025-04-07,2025-04-07,Jack Krause,+1-862-795-3769x43903,hernandezlauren@yahoo.com,Cold,Yes,No,Not Interested,Booked Another Visit
2025-01-21,2025-03-29,Sarah Maldonado,1470491704,cmorrow@yahoo.com,Cold,No,No,Not Interested,Purchased
2025-03-03,2025-03-16,Robert Anderson,001-165-625-5885x38734,beverlycastaneda@gmail.com,Cold,Yes,No,Did Not Pick,Purchased
2025-03-07,2025-03-27,Kerry Rogers,819-741-7756x0262,zjohnson@mathis.com,Hot,No,No,Follow Up with Another Call,Not Interested
2025-01-24,2025-01-27,Jeffrey Butler,001-134-855-3455x161,rachel14@williams.biz,Hot,No,No,Booked Site Visit,Not Interested
2025-03-06,2025-03-13,Tamara Baker,(383)187-3223x8409,bbrown@hotmail.com,Hot,Yes,No,Did Not Pick,Still Deciding
2025-02-24,2025-02-27,Christopher Nelson,001-599-853-1951x210,ofuentes@hotmail.com,Cold,Yes,Yes,Agents,Purchased
2025-02-06,2025-02-16,Jeffrey Delacruz,001-477-320-8999,scott30@hensley.org,Hot,Yes,Yes,Booked Site Visit,Not Interested
2025-01-12,2025-01-12,Tiffany Ryan,001-372-143-3573,rachel88@hotmail.com,Warm,Yes,No,Booked Site Visit,Purchased
2025-02-14,2025-02-14,Joanna Kaufman,+1-269-903-0573x8077,johnsonamy@hotmail.com,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-03-30,2025-04-03,Richard French,666.266.3381,lgeorge@yahoo.com,Cold,No,No,Booked Site Visit,Not Interested
2025-03-03,2025-04-08,Frank Anderson,1382215735,millermelanie@yahoo.com,Cold,No,No,Visited,Still Deciding
2025-03-17,2025-04-04,David Spears Jr.,+1-821-342-9846x753,powersthomas@fernandez.com,Cold,No,No,Did Not Pick,Booked Another Visit
2025-02-12,2025-03-16,Hannah Walker,(020)511-7346x94243,murphybrittany@ayala.info,Hot,No,No,Other Interests,Still Deciding
2025-04-04,2025-04-04,Paige Wilson,683.342.1448x9651,greensandra@gmail.com,Warm,No,No,Booked Site Visit,Purchased
2025-03-26,2025-04-07,Charles Hall,537-170-3074,courtney23@sanchez-king.com,Cold,No,No,Not Interested,Still Deciding
2025-01-18,2025-04-06,Bailey Webb DDS,668.580.7692x78131,sweeneylarry@martin.org,Warm,Yes,Yes,Agents,Purchased
2025-01-28,2025-02-12,Sean Murphy,913.562.8814,ericbates@parrish.org,Warm,Yes,Yes,Booked Site Visit,Still Deciding
2025-02-14,2025-03-15,Jessica Bradshaw,449.717.8295x59763,heather63@hotmail.com,Warm,No,No,Other Interests,Not Interested
2025-02-08,2025-02-22,Brian Baker,(619)002-8623,psanders@yahoo.com,Cold,Yes,Yes,Sent Info via Email,Not Interested
2025-04-08,2025-04-08,Robert Brown,0861321586,ogutierrez@morales.net,Warm,No,No,Not Interested,Still Deciding
2025-04-01,2025-04-07,Gary Ford,484-278-0639,bryan16@gmail.com,Cold,No,No,Visited,Still Deciding
2025-04-08,2025-04-08,Amanda Holt,(718)068-3313x472,fkelley@yahoo.com,Cold,No,No,Not Interested,Still Deciding
2025-01-31,2025-02-14,Sean Mitchell,(246)502-7748x3959,deanmurray@santiago-pearson.net,Hot,No,No,Visited,Not Interested
2025-02-20,2025-03-20,Tara Chang,+1-667-730-4040x567,valdezmartin@lester.com,Warm,Yes,No,Follow Up with Another Call,Not Interested
2025-03-31,2025-04-01,Timothy Walters,8659953992,jessicawheeler@charles.net,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-01-11,2025-02-17,Thomas Jones,147.280.0027,amymoody@evans.biz,Cold,No,No,Sent Info via Email,Purchased
2025-03-08,2025-04-07,David Morrison,001-080-066-7410x527,shannon62@yahoo.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-03-12,2025-03-12,Pamela Bates,343.607.4752x75161,jessicacampos@yahoo.com,Hot,No,No,Did Not Pick,Not Interested
2025-03-13,2025-03-27,Stephanie Mcgee,001-065-249-5077x4996,adamssamantha@gmail.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-26,2025-03-10,April Bradshaw,126-676-9152x026,bergalicia@hotmail.com,Cold,No,No,Sent Info via Email,Booked Another Visit
2025-01-09,2025-01-17,Amanda Jones,167-983-9259,jturner@marquez-reyes.com,Cold,Yes,Yes,Visited,Purchased
2025-01-16,2025-03-31,Michelle Jones,414.898.7405,seanperez@yahoo.com,Cold,Yes,Yes,Did Not Pick,Not Interested
2025-02-05,2025-04-03,Nicholas Lambert II,150.580.2641,reyesdillon@yahoo.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-03-15,2025-04-05,Dylan Davenport,6351683916,maldonadoanthony@hotmail.com,Cold,Yes,Yes,Follow Up with Another Call,Booked Another Visit
2025-02-10,2025-04-05,Collin Garcia,961-250-7314x45715,david11@rogers.com,Cold,No,No,Sent Info via Email,Purchased
2025-02-05,2025-03-04,Meghan Watts,001-885-734-1430x74837,rogerssheila@yahoo.com,Hot,No,No,Other Interests,Purchased
2025-02-08,2025-03-05,Catherine Lee,(968)242-5112x8337,petertorres@larsen-weaver.org,Warm,No,No,Visited,Not Interested
2025-03-27,2025-04-06,Jerry Morgan,+1-436-056-1994x26785,wyattrobert@chapman.com,Hot,Yes,No,Follow Up with Another Call,Not Interested
2025-03-27,2025-04-05,Suzanne Long,(928)788-1915x696,parkerabigail@hill-gray.com,Cold,Yes,Yes,Agents,Still Deciding
2025-04-01,2025-04-06,Cody Thomas,137.323.3407,ubaxter@hotmail.com,Hot,No,No,Did Not Pick,Booked Another Visit
2025-03-19,2025-03-27,Jeffrey Higgins,(010)994-3943x6742,qstewart@huffman.biz,Warm,No,No,Follow Up with Another Call,Purchased
2025-03-09,2025-03-22,Michael Pugh,+1-264-924-2066x8979,rachelgomez@gmail.com,Cold,No,No,Agents,Not Interested
2025-02-18,2025-03-21,Jennifer Chambers,(687)473-9009,christinabarajas@gmail.com,Warm,No,No,Visited,Not Interested
2025-04-04,2025-04-06,Marcus Kelley,001-924-959-2522x9181,melissaalexander@yahoo.com,Cold,No,No,Agents,Still Deciding
2025-01-21,2025-02-15,Krystal Clark,001-954-047-6071x0863,shannonfischer@yahoo.com,Cold,No,No,Not Interested,Purchased
2025-03-12,2025-04-07,Jodi Williams,+1-448-507-1360,greenjohn@turner.com,Warm,No,No,Did Not Pick,Still Deciding
2025-03-29,2025-04-01,Robin Henry,(211)089-6897x576,stephanieperez@woods.info,Warm,No,No,Booked Site Visit,Booked Another Visit
2025-03-19,2025-03-20,Dr. Nicholas Browning,095-146-1707,jenna87@sanchez.net,Cold,No,No,Not Interested,Purchased
2025-04-03,2025-04-08,Michelle Peterson,434.116.1048,seanmiller@mullen-hill.com,Hot,No,No,Agents,Not Interested
2025-02-10,2025-03-19,Angela Lee,+1-334-069-0831,cvalenzuela@gmail.com,Cold,No,No,Agents,Still Deciding
2025-03-03,2025-04-06,Courtney Jones,(330)110-6371x297,emartin@yahoo.com,Hot,No,No,Sent Info via Email,Still Deciding
2025-02-24,2025-03-07,Mr. Juan Miller Jr.,001-317-038-0732x317,douglas90@pope-white.com,Warm,No,No,Sent Info via Email,Purchased
2025-02-02,2025-02-15,Benjamin Martin,001-295-790-4362x40716,phillipsclinton@gmail.com,Warm,Yes,Yes,Follow Up with Another Call,Purchased
2025-03-19,2025-03-28,Patrick Stanley,(876)471-6499x61235,ballardanthony@swanson.com,Cold,No,No,Agents,Purchased
2025-03-22,2025-03-28,Paul Guerrero,331.620.7542,ugarcia@hotmail.com,Cold,No,No,Agents,Still Deciding
2025-03-26,2025-04-07,Tyler Fry,(458)269-1901x7509,stephanie08@murillo-stafford.com,Cold,Yes,Yes,Other Interests,Not Interested
2025-01-20,2025-03-30,John Mitchell,001-525-550-5969x8293,bgamble@shaffer-martinez.com,Cold,Yes,Yes,Sent Info via Email,Still Deciding
2025-03-21,2025-04-03,Cheryl Miller,001-133-685-8613x23476,watkinsrebecca@lee.com,Cold,No,No,Other Interests,Not Interested
2025-03-04,2025-04-02,Steven Kirby MD,001-151-924-7789x337,amanda61@yahoo.com,Cold,No,No,Did Not Pick,Still Deciding
2025-02-08,2025-02-21,Alexandra Jones,001-774-466-9588x269,emmagutierrez@jones.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-02-12,2025-02-19,Frank Vega,001-279-863-9403x704,julievaldez@yahoo.com,Cold,Yes,No,Visited,Still Deciding
2025-03-31,2025-03-31,Eric Tran,771.027.6509,brucekelly@young-ward.com,Cold,No,No,Other Interests,Purchased
2025-03-24,2025-03-31,Melissa White,(628)665-6596x36463,tyler61@hotmail.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-01-26,2025-03-12,Christina Ayala,001-029-543-8927,kathleenwallace@gmail.com,Cold,No,No,Sent Info via Email,Purchased
2025-02-28,2025-04-08,Daniel Spencer,229-312-0534x93822,rjames@gmail.com,Hot,No,No,Did Not Pick,Purchased
2025-03-21,2025-03-23,Joseph Franklin,001-935-037-2021x964,kennedytracy@hayden.com,Cold,No,No,Other Interests,Still Deciding
2025-04-06,2025-04-06,Troy Owens,939.692.6012,amandamyers@yahoo.com,Cold,No,No,Visited,Still Deciding
2025-01-09,2025-02-01,David Pearson,001-018-533-9906x473,angela33@white.info,Warm,Yes,Yes,Agents,Not Interested
2025-03-05,2025-03-10,Patricia Murphy,001-699-255-3436x29404,jerry91@davis.biz,Hot,No,No,Did Not Pick,Still Deciding
2025-04-07,2025-04-08,Craig Ruiz,060.389.9983x553,sarahkelley@adams.com,Hot,No,No,Did Not Pick,Purchased
2025-03-09,2025-03-15,Jonathan Young,(934)402-6327x14505,josephpalmer@contreras-crawford.com,Warm,No,No,Other Interests,Still Deciding
2025-01-24,2025-01-25,Cindy Reese,5830070580,ashley00@simpson.org,Hot,No,No,Did Not Pick,Purchased
2025-04-07,2025-04-08,Felicia Copeland,001-260-905-7288,ahubbard@garcia.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-01-31,2025-03-21,Christopher Jones,+1-838-449-1087x884,vickie85@miller.com,Warm,No,No,Visited,Still Deciding
2025-04-02,2025-04-03,Joseph Gordon,3991533806,adamsallen@yahoo.com,Warm,Yes,No,Other Interests,Not Interested
2025-01-16,2025-02-10,Nicholas Blankenship,874.887.8868x328,phouston@hotmail.com,Hot,No,No,Visited,Not Interested
2025-03-05,2025-03-24,Cynthia Ruiz,861.343.1734x0715,sandersashley@estrada.biz,Warm,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-01-20,2025-01-25,Joan Gomez DDS,4203705029,pward@gmail.com,Cold,No,No,Visited,Still Deciding
2025-03-03,2025-03-06,Zachary Massey,027-838-9578,teresagraham@hotmail.com,Warm,No,No,Sent Info via Email,Not Interested
2025-02-05,2025-03-01,Frank Barron,9159391517,alicia13@morgan.com,Cold,No,No,Booked Site Visit,Not Interested
2025-03-06,2025-03-10,Sharon Hayes,001-183-788-6768x94376,jasonsanchez@gmail.com,Warm,No,No,Follow Up with Another Call,Not Interested
2025-01-26,2025-03-08,Barbara Hartman,001-287-855-6862x84330,christopher27@ingram.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-02-14,2025-02-26,John Haas,(081)937-2079,jeffreymaynard@finley-thompson.com,Cold,No,No,Agents,Still Deciding
2025-03-14,2025-03-18,Ryan Nicholson,016.833.7415x09266,thomasfletcher@gmail.com,Cold,Yes,Yes,Not Interested,Still Deciding
2025-03-05,2025-03-31,Michele Jensen,+1-404-723-0435x572,phillipspamela@hotmail.com,Cold,No,No,Booked Site Visit,Not Interested
2025-01-26,2025-01-30,Joshua Quinn,+1-191-399-0571x63582,jennifermartin@yahoo.com,Warm,No,No,Follow Up with Another Call,Still Deciding
2025-01-29,2025-02-06,Kelli Williams,4828711274,rrobinson@hotmail.com,Hot,Yes,Yes,Sent Info via Email,Still Deciding
2025-01-23,2025-02-13,Catherine Garza,(783)931-5441x6086,campbelljimmy@adams-carlson.com,Cold,No,No,Not Interested,Still Deciding
2025-03-28,2025-04-05,Daniel Reyes,+1-644-614-0238,whitney06@gmail.com,Cold,Yes,Yes,Booked Site Visit,Still Deciding
2025-03-04,2025-04-06,Amanda Hunter,+1-472-843-3076x16973,hannahberry@yahoo.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-03-21,2025-03-23,Brian Rogers,246.801.4788x1345,russellsanchez@adkins-james.com,Cold,No,No,Other Interests,Still Deciding
2025-01-14,2025-01-22,Cassie Turner,1105540562,georgerandolph@gmail.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-01-22,2025-03-16,Ronald Brooks,894.592.4767,alexmassey@yahoo.com,Cold,Yes,Yes,Agents,Not Interested
2025-03-16,2025-03-28,Andrew Adams,6823917861,collinspamela@lopez.org,Cold,No,No,Other Interests,Purchased
2025-03-27,2025-04-04,Craig Wright,444-772-3701,christineroth@hotmail.com,Cold,No,No,Agents,Still Deciding
2025-03-23,2025-03-31,Amanda Bush,+1-838-719-9420,cameronpatel@black.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-02-19,2025-04-04,Seth Cook,(644)252-9635,mbrown@hotmail.com,Hot,No,No,Visited,Still Deciding
2025-02-18,2025-02-28,Brittany Powell,505.144.2124x5227,olivia63@gonzalez-miller.org,Cold,Yes,No,Sent Info via Email,Still Deciding
2025-03-05,2025-03-19,Mary Lopez,+1-843-088-2885x468,janicemanning@smith.org,Cold,Yes,Yes,Agents,Still Deciding
2025-03-22,2025-03-23,Jennifer Gardner,737.478.2981x14344,tony18@sellers.com,Cold,Yes,No,Follow Up with Another Call,Not Interested
2025-03-11,2025-04-03,Shannon Carter,427-273-5525,dcain@hotmail.com,Warm,Yes,Yes,Agents,Still Deciding
2025-03-15,2025-03-24,Roger Freeman,(721)760-5377,mclaughlinmelissa@anthony.com,Hot,Yes,Yes,Did Not Pick,Still Deciding
2025-03-29,2025-03-31,Jonathan Stevenson,788.212.0198,rochathomas@cooper-foster.com,Hot,No,No,Booked Site Visit,Purchased
2025-02-11,2025-02-16,Zachary Frazier,666-221-1301x44286,samantha85@gmail.com,Hot,Yes,No,Did Not Pick,Purchased
2025-02-24,2025-03-18,Dana Alvarez,001-151-867-9010x0927,jeremymacias@gmail.com,Cold,No,No,Booked Site Visit,Purchased
2025-04-07,2025-04-07,Tricia King,001-918-745-0647x964,tammiegardner@gmail.com,Warm,No,No,Agents,Not Interested
2025-02-25,2025-04-06,Amber Barrera,005-761-3313x585,jennifer27@torres.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-03-17,2025-03-20,Lauren Meyers,062.573.6614,newmanlisa@sullivan-wilson.com,Warm,No,No,Booked Site Visit,Purchased
2025-02-28,2025-03-24,Michael Martinez,+1-836-542-6276,ashley11@jacobson.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-14,2025-02-07,Alexander Morris,603.877.9968x9264,mirandamunoz@yahoo.com,Warm,No,No,Not Interested,Still Deciding
2025-01-28,2025-04-04,Curtis Dean,001-242-235-6547x2674,baueremily@roberts.org,Cold,Yes,Yes,Follow Up with Another Call,Not Interested
2025-03-13,2025-03-30,Mr. Benjamin Meyers,587.601.9354,yberg@hotmail.com,Warm,No,No,Other Interests,Not Interested
2025-03-07,2025-03-22,Jimmy Johnston,001-934-406-8194x055,donna04@gmail.com,Cold,Yes,No,Booked Site Visit,Still Deciding
2025-03-24,2025-03-29,Steven Edwards,0103405254,justingilmore@hotmail.com,Hot,No,No,Agents,Still Deciding
2025-02-19,2025-02-25,Evan Foley,997-930-6274x55172,danielcastillo@lane-pena.com,Warm,No,No,Agents,Still Deciding
2025-04-08,2025-04-08,Katie Hanson,(651)381-2018,davisjoseph@morse-romero.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-14,2025-03-19,David Phillips,963.704.8245,llee@gmail.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-02-17,2025-03-08,Amber Evans,001-163-457-9754x391,nolananthony@hotmail.com,Warm,No,No,Follow Up with Another Call,Not Interested
2025-03-25,2025-04-08,Jonathan Santiago,866.825.6923x3891,jessica83@lee.com,Cold,No,No,Agents,Still Deciding
2025-03-12,2025-03-19,Alexander Wright,390-982-7263x99477,william11@brown-price.biz,Warm,No,No,Not Interested,Not Interested
2025-04-06,2025-04-06,Chad Matthews,032.035.6888x7362,laurennelson@jones.com,Warm,No,No,Booked Site Visit,Booked Another Visit
2025-03-14,2025-04-05,Ms. Abigail Hawkins,+1-267-484-5828,ztyler@ward-lee.com,Cold,Yes,No,Booked Site Visit,Still Deciding
2025-03-26,2025-04-02,Cameron Sanford,192.370.7172x7027,slindsey@hotmail.com,Cold,No,No,Sent Info via Email,Purchased
2025-03-25,2025-04-08,Lisa Meadows,001-155-472-4602x5260,sophia70@king.org,Hot,No,No,Other Interests,Still Deciding
